species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Contopus virens,0.797227142,0.996003996,0.83016983,0.83016983,0.977022977,0.991008991,0.954045954,0.954045954,0.981018981,0.010989011,0.180819181,0.180819181,0.048951049,0.006993007,0.042957043,0.042957043,0.015984016,0.950465731,0.049534269,0.018738038,0.967728707,0.032271293,0.014668953,0.519849765,0.253136324,-0.762679702,0.653912036,1.34369007,0.93352234,0.013897659,0.031130597,0.003928749,0.017520654
Corvus corax,0.670543584,1,0.72027972,0.72027972,0.999000999,1,1,1,1,0.001998002,0.288711289,0.288711289,0.007992008,0.001998002,0.000999001,0.000999001,0.000999001,0.970924057,0.029075943,0.042228031,0.999124545,0.000875455,0.025904585,1.106581006,0.113444039,0.226314809,0.678190813,1.045852521,0.931067028,0.024760311,0.000815821,0.016290303,0.027066537
Corvus ossifragus,0.682050135,0.972027972,0.918081918,0.918081918,0.815184815,0.974025974,0.997002997,0.997002997,0.827172827,0.031968032,0.090909091,0.090909091,0.185814186,0.02997003,0.004995005,0.004995005,0.197802198,0.901271999,0.098728001,0.096844463,0.935673271,0.064326729,0.096487203,0.833974787,0.470180252,-1.23156374,-0.82236737,2.436622409,0.821846687,0.087765982,0.05650125,0.000359814,0.033526267
Cyanocitta cristata,0.799140899,0.983016983,0.719280719,0.719280719,0.931068931,0.979020979,0.856143856,0.856143856,0.969030969,0.01998002,0.292707293,0.292707293,0.054945055,0.023976024,0.12987013,0.12987013,0.037962038,0.954216251,0.045783749,0.013931358,0.975289937,0.024710063,0.009458521,0.673732914,0.218438513,-0.875040805,0.625267728,1.601315098,0.941523254,0.008990454,0.023854546,0.004311559,0.021320186
Cyanocitta stelleri,0.637903727,1,0.794205794,0.794205794,1,1,0.806193806,0.806193806,1,0.000999001,0.187812188,0.187812188,0.001998002,0.000999001,0.193806194,0.193806194,0.000999001,0.979932295,0.020067705,0.147142229,0.980081047,0.019918953,0.018332752,-0.662682336,1.554397235,-0.958781127,0.183280711,1.402724141,0.838217969,0.01565382,0.017035759,0.128962626,0.000129826
Dolichonyx oryzivorus,0.767850292,0.993006993,0.743256743,0.743256743,0.964035964,0.985014985,0.768231768,0.768231768,0.975024975,0.018981019,0.266733267,0.266733267,0.046953047,0.013986014,0.235764236,0.235764236,0.026973027,0.865151351,0.134848649,0.019278493,0.882606295,0.117393705,0.015973885,-1.917277361,-0.976503614,-0.687451866,-1.148345197,1.241773038,0.850684042,0.013809318,0.113147789,0.002912969,0.019445882
Dryobates pubescens,0.813207261,0.992007992,0.877122877,0.877122877,0.975024975,0.989010989,0.989010989,0.989010989,0.984015984,0.011988012,0.134865135,0.134865135,0.042957043,0.007992008,0.008991009,0.008991009,0.008991009,0.970003948,0.029996052,0.01234033,0.97941429,0.02058571,0.009615994,0.536599195,0.411069063,-0.658013749,0.85995366,1.276165141,0.958388537,0.009305338,0.020143782,0.002669263,0.009493079
Dryobates villosus,0.805268169,1,0.932067932,0.932067932,0.998001998,1,1,1,1,0.001998002,0.061938062,0.061938062,0.003996004,0.001998002,0.000999001,0.000999001,0.000999001,0.978432692,0.021567308,0.00989002,0.991819709,0.008180291,0.005292038,-0.497001319,0.485533016,0.31292402,1.190279356,1.073613738,0.968962653,0.005155068,0.007991771,0.004523716,0.013366792
Dryocopus pileatus,0.782706439,0.999000999,0.942057942,0.942057942,0.989010989,0.995004995,1,1,1,0.002997003,0.03996004,0.03996004,0.008991009,0.003996004,0.000999001,0.000999001,0.000999001,0.970834613,0.029165387,0.004483248,0.987697923,0.012302077,0.001408713,-0.127939765,0.255454729,-0.66436785,1.065333293,0.971420804,0.96660851,0.001363595,0.012039402,0.002989467,0.016999026
Dumetella carolinensis,0.809206434,0.996003996,0.777222777,0.777222777,0.958041958,0.993006993,0.758241758,0.758241758,0.957042957,0.007992008,0.235764236,0.235764236,0.053946054,0.006993007,0.245754246,0.245754246,0.045954046,0.960600771,0.039399229,0.028081307,0.96414386,0.03585614,0.025883882,0.769865551,-0.309879301,-0.334549752,-0.77187418,1.197151799,0.934659937,0.024835466,0.034759644,0.002169337,0.003575616
Empidonax difficilis,0.577773618,0.999000999,0.776223776,0.776223776,0.999000999,1,0.827172827,0.827172827,1,0.002997003,0.201798202,0.201798202,0.002997003,0.003996004,0.172827173,0.172827173,0.000999001,0.919808242,0.080191758,0.218462522,0.921628859,0.078371141,0.001112157,0.574079065,1.891571776,-1.001581483,1.033438056,1.794184951,0.731682889,0.000814652,0.062218996,0.203712058,0.001571405
Empidonax hammondii,0.701728664,1,0.841158841,0.841158841,0.987012987,1,0.818181818,0.818181818,1,0.000999001,0.160839161,0.160839161,0.008991009,0.001998002,0.17982018,0.17982018,0.000999001,0.910486702,0.089513298,0.141971163,0.910652499,0.089347501,0.053188331,-0.718946505,-1.833470367,0.110290571,-0.932115082,1.224775685,0.79127967,0.044451126,0.077635389,0.086475587,0.000158227
Empidonax minimus,0.814075791,0.998001998,0.673326673,0.673326673,0.981018981,0.992007992,0.712287712,0.712287712,1,0.006993007,0.30969031,0.30969031,0.022977023,0.002997003,0.254745255,0.254745255,0.000999001,0.930820699,0.069179301,0.030318161,0.94411243,0.05588757,0.019096665,-1.674206646,0.856966319,-0.943803232,1.265701772,0.836990931,0.90449701,0.017609152,0.0535425,0.010670933,0.013680404
Empidonax oberholseri,0.542989584,0.861138861,0.803196803,0.803196803,0.905094905,0.875124875,0.807192807,0.807192807,0.958041958,0.130869131,0.172827173,0.172827173,0.096903097,0.143856144,0.193806194,0.193806194,0.031968032,0.908743351,0.091256649,0.256319654,0.908743351,0.091256649,0.209275105,0.82992556,1.609334297,0.355407063,-0.395034303,2.059772145,0.69200108,0.183146629,0.069491237,0.055361055,0
Empidonax traillii,0.703078649,0.983016983,0.725274725,0.725274725,0.9000999,0.987012987,0.767232767,0.767232767,0.945054945,0.020979021,0.282717283,0.282717283,0.113886114,0.01998002,0.247752248,0.247752248,0.064935065,0.933532592,0.066467408,0.034599312,0.943731035,0.056268965,0.029289004,1.303744555,0.627900949,0.184768625,1.174961034,1.245544809,0.903310373,0.027255343,0.053858926,0.005118694,0.010456664
Empidonax virescens,0.673768839,0.953046953,0.902097902,0.902097902,0.92007992,0.947052947,0.938061938,0.938061938,0.932067932,0.045954046,0.094905095,0.094905095,0.07992008,0.061938062,0.071928072,0.071928072,0.080919081,0.896194763,0.103805237,0.030693121,0.914154684,0.085845316,0.030693121,-0.147292328,0.014231747,-1.970289145,-0.634176587,1.934877454,0.871464326,0.027594935,0.081836402,3.47E-18,0.019104337
