species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_routes_hist,n_routes_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Botaurus lentiginosus,39331.15043,922300.7683,288224.3933,921406.1142,248894.8508,-894.6541204,248893.2429,90.33137738,54,45,0.813674822,0.989010989,0.641358641,0.641358641,0.999000999,0.987012987,1,1,0.998001998,0.017982018,0.340659341,0.340659341,0.001998002,0.013986014,0.000999001,0.000999001,0.000999001,0.948592844,0.051407156,0.014540235,1,0,0.01289162,0.93549934,0.01380308,0.050697579
Branta canadensis,440193.1418,610765.5888,497051.7137,473839.8631,148261.7671,-136925.7258,56858.5719,160.454366,207,432,0.83737073,0.999000999,0.901098901,0.901098901,1,1,0.911088911,0.911088911,1,0.006993007,0.114885115,0.114885115,0.000999001,0.000999001,0.078921079,0.078921079,0.000999001,0.95185511,0.04814489,0,0.954947142,0.045052858,0,0.95185511,0,0.04814489
Bubo virginianus,120479.9896,288588.5196,-158544.2257,277848.5773,279230.8347,-10739.94226,-279024.2153,-91.23641639,216,143,0.850151843,0.997002997,0.824175824,0.824175824,1,0.999000999,0.867132867,0.867132867,1,0.002997003,0.201798202,0.201798202,0.001998002,0.004995005,0.148851149,0.148851149,0.000999001,0.971539572,0.028460428,0.003895352,0.974212559,0.025787441,0.003895352,0.967862384,0.003784909,0.028352708
Buteo jamaicensis,127629.255,325198.2166,213651.2672,336515.8149,86763.32529,11317.59837,86022.0122,83.50391136,516,573,0.959200078,1,0.534465534,0.534465534,1,1,0.537462537,0.537462537,1,0.002997003,0.486513487,0.486513487,0.002997003,0.001998002,0.461538462,0.461538462,0.001998002,0.998487871,0.001512129,0.001380088,0.998487871,0.001512129,0.001380088,0.99711195,0.001378004,0.001510046
Buteo lineatus,800982.3735,-232739.2788,752737.8263,-56622.68981,182605.0088,176116.589,-48244.54722,-10.15527452,154,266,0.800135816,0.982017982,0.934065934,0.934065934,1,0.989010989,0.945054945,0.945054945,1,0.020979021,0.055944056,0.055944056,0.000999001,0.022977023,0.072927073,0.072927073,0.000999001,0.951179264,0.048820736,5.36E-05,0.951957385,0.048042615,5.36E-05,0.951130734,5.10E-05,0.048818245
Buteo platypterus,1103703.653,314416.2547,1107009.46,302853.0198,12026.50219,-11563.23489,3305.806074,171.7422643,118,153,0.751495928,0.984015984,0.96003996,0.96003996,1,0.985014985,0.977022977,0.977022977,1,0.014985015,0.042957043,0.042957043,0.000999001,0.012987013,0.012987013,0.012987013,0.000999001,0.886847583,0.113152417,0,0.901220021,0.098779979,0,0.886847583,0,0.113152417
Buteo regalis,-984973.4435,681698.8266,-987946.4531,693931.2765,12588.55108,12232.44996,-2973.009613,-21.21269947,34,32,0.745822612,0.996003996,1,1,1,0.994005994,1,1,1,0.008991009,0.005994006,0.005994006,0.000999001,0.004995005,0.002997003,0.002997003,0.000999001,1,0,0.145126486,1,0,0.142356804,0.854873514,0.145126486,0
Buteo swainsoni,-744105.8275,411688.8775,-899610.5175,376311.1734,159478.182,-35377.70405,-155504.69,-107.8487612,94,92,0.875622809,0.999000999,0.991008991,0.991008991,0.995004995,0.999000999,1,1,0.995004995,0.000999001,0.001998002,0.001998002,0.006993007,0.002997003,0.000999001,0.000999001,0.008991009,0.999513095,0.000486905,0.100052041,1,0,0.099187161,0.899553593,0.100008197,0.00043821
Calamospiza melanocorys,-653835.4921,742873.6036,-760812.5529,638337.8409,149572.1138,-104535.7627,-106977.0608,-138.9424573,58,37,0.70799487,0.979020979,0.873126873,0.873126873,0.984015984,0.976023976,0.862137862,0.862137862,0.986013986,0.020979021,0.14985015,0.14985015,0.015984016,0.028971029,0.156843157,0.156843157,0.015984016,0.972741149,0.027258851,0.261253491,0.972741149,0.027258851,0.249920958,0.723763387,0.255954796,0.020281817
Callipepla californica,-2044178.461,750085.997,-1982892.277,772822.8301,65367.88165,22736.83308,61286.1842,54.90232429,48,55,0.838612127,0.995004995,0.96003996,0.96003996,1,0.989010989,0.954045954,0.954045954,1,0.010989011,0.042957043,0.042957043,0.001998002,0.00999001,0.030969031,0.030969031,0.000999001,0.914850378,0.085149622,0.002532726,0.919452429,0.080547571,0.002532726,0.912730153,0.002317565,0.084952283
